intitule_poste,ville,date_publication,mois,contrat,entreprise,source,secteur,competences,experience,exp_min,exp_max
Agents distributeur,zone rurale,2026-04-10,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"vente, finance, santé",Non spécifié,,
Stagiaire Rayonniste,Dakar,2026-04-09,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,vente,Non spécifié,,
Caissière,Dakar,2026-04-09,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,,Non spécifié,,
Stagiaire IT,Dakar,2026-04-09,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,finance,Non spécifié,,
Managing Director Everllence Senegal,Dakar,2026-04-09,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,,Non spécifié,,
Commissioning Engineer,Dakar,2026-04-09,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,,Non spécifié,,
HR Admin (H/F),Dakar,2026-04-09,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,rh,Non spécifié,,
Conseillers commerciaux confirmés et polyvalents,Dakar,2026-04-09,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"communication, finance",Non spécifié,,
Conseillers en Assurance Santé,Dakar,2026-04-09,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"vente, finance, santé",Non spécifié,,
People Operations Specialist (Chargé RH),Dakar,2026-04-09,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"finance, rh, santé",Non spécifié,,
Coordinateurs de Projet,Dakar,2026-04-09,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"data analyse, rh, santé, gestion de projet",2,2.0,2.0
Spécialiste de l’Aviation Civile,Dakar,2026-04-09,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,,Non spécifié,,
Conseillers Client Service Client – Français & Anglais,Dakar,2026-04-09,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,,Non spécifié,,
Conseillers Client Télévente,Dakar,2026-04-09,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,"vente, santé",Non spécifié,,
Chargé(e) du budget et de la planification des ressources,Dakar,2026-04-09,2026-04-01,Non spécifié,Non spécifié,senjob.com,Non spécifié,gestion de projet,Non spécifié,,
